Cultivo,Temp. Opt. Mín. (°C),Temp. Opt. Máx. (°C),Temp. Recomendada (°C)_valor_mínimo,Temp. Recomendada (°C)_valor_máximo,Lluvia Óptima (mm)_valor_mínimo,Lluvia Óptima (mm)_valor_máximo,Humedad Ambiental (%)_valor_mínimo,Humedad Ambiental (%)_valor_máximo,Humedad Suelo (%)_valor_mínimo,Humedad Suelo (%)_valor_máximo,Temp. Recomendada (°C)_valor_promedio,Lluvia Óptima (mm)_valor_promedio,Humedad Ambiental (%)_valor_promedio,Humedad Suelo (%)_valor_promedio
Limón,15,32,20,25,800,1100,75,85,70,80,22.5,950.0,80.0,75.0
Maguey pulquero,18,34,24,28,600,800,50,65,50,60,26.0,700.0,57.5,55.0
Mango,18,34,24,28,800,1200,75,85,70,80,26.0,1000.0,80.0,75.0
Manzana,8,26,15,20,700,900,65,75,65,80,17.5,800.0,70.0,72.5
Maíz forrajero en verde,14,32,20,26,600,800,65,75,65,80,23.0,700.0,70.0,72.5
Maíz grano,14,34,22,28,700,900,65,75,65,80,25.0,800.0,70.0,72.5
Melón,18,34,24,30,400,600,60,70,60,75,27.0,500.0,65.0,67.5
Naranja,15,32,20,25,800,1100,75,85,70,80,22.5,950.0,80.0,75.0
Nopalitos,18,35,25,30,400,600,45,60,45,60,27.5,500.0,52.5,52.5
Nuez,12,30,18,24,800,1100,65,75,65,80,21.0,950.0,70.0,72.5
Papa,12,26,18,22,600,800,65,75,70,85,20.0,700.0,70.0,77.5
Papaya,20,34,26,30,1200,1600,80,90,75,85,28.0,1400.0,85.0,80.0
Pepino,18,34,24,30,500,700,65,75,65,80,27.0,600.0,70.0,72.5
Pera,8,26,15,20,700,900,65,75,65,80,17.5,800.0,70.0,72.5
Piña,20,34,26,30,1200,1600,80,90,75,85,28.0,1400.0,85.0,80.0
Plátano,20,34,26,30,1400,1700,80,90,75,85,28.0,1550.0,85.0,80.0
Rosa,15,28,18,25,400,500,65,75,65,75,21.5,450.0,70.0,70.0
Sandía,18,36,26,32,400,600,60,70,60,75,29.0,500.0,65.0,67.5
Sorgo forrajero en verde,16,36,24,30,400,600,60,70,60,75,27.0,500.0,65.0,67.5
Sorgo grano,16,36,24,30,400,600,60,70,60,75,27.0,500.0,65.0,67.5
Soya,14,32,20,26,600,800,65,75,65,80,23.0,700.0,70.0,72.5
Tabaco,18,34,24,30,500,700,65,75,65,80,27.0,600.0,70.0,72.5
Tomate rojo (jitomate),18,32,22,28,500,700,65,75,65,75,25.0,600.0,70.0,70.0
Tomate verde,18,30,22,26,500,700,65,75,65,75,24.0,600.0,70.0,70.0
Toronja (pomelo),15,32,20,26,800,1100,75,85,70,80,23.0,950.0,80.0,75.0
Trigo grano,10,28,15,22,300,500,60,70,65,75,18.5,400.0,65.0,70.0
Tuna,18,35,25,30,400,600,45,60,45,60,27.5,500.0,52.5,52.5
Uva,12,30,18,25,700,1000,65,75,65,80,21.5,850.0,70.0,72.5
Zanahoria,10,28,16,22,450,650,65,75,65,80,19.0,550.0,70.0,72.5
Zarzamora,10,26,16,22,600,800,70,80,70,85,19.0,700.0,75.0,77.5
