Cultivo,Fase,Temp. Opt. Mín. (°C),Temp. Recomendada (°C),Temp. Opt. Máx. (°C),Lluvia Óptima (mm),Humedad Ambiental (%),Humedad Suelo (%),Fuente URL
Lechuga,Floración,8,14-20,24,400-500,70-80,70-80,INIFAP - Hortalizas de hoja
Limón,Floración,15,20-25,32,800-1100,75-85,70-80,INIFAP - Cultivos cítricos
Maguey pulquero,Floración,18,24-28,34,600-800,50-65,50-60,INIFAP - Maguey
Mango,Floración,18,24-28,34,800-1200,75-85,70-80,https://jardinessinfronteras.com - ALGUNAS FRUTAS TROPICALES
Manzana,Floración,8,15-20,26,700-900,65-75,65-80,INIFAP - Cultivos frutales templados
Maíz forrajero en verde,Floración,14,20-26,32,600-800,65-75,65-80,INIFAP - Maíz forrajero
Maíz grano,Floración,14,22-28,34,700-900,65-75,65-80,https://calidaddelaire.puebla.gob.mx - Vulnerabilidad del sector agrícola
Melón,Floración,18,24-30,34,400-600,60-70,60-75,INIFAP - Cucurbitáceas
Naranja,Floración,15,20-25,32,800-1100,75-85,70-80,INIFAP - Cultivos cítricos
Nopalitos,Floración,18,25-30,35,400-600,45-60,45-60,INIFAP - Cultivos xerófitos
Nuez,Floración,12,18-24,30,800-1100,65-75,65-80,INIFAP - Cultivos frutales especiales
Papa,Floración,12,18-22,26,600-800,65-75,70-85,https://fps.org.mx - Predicción de la fenología de papa
Papaya,Floración,20,26-30,34,1200-1600,80-90,75-85,https://frutales.files.wordpress.com - CULTIVOS FRUTICOLA
Pepino,Floración,18,24-30,34,500-700,65-75,65-80,INIFAP - Cucurbitáceas
Pera,Floración,8,15-20,26,700-900,65-75,65-80,INIFAP - Cultivos frutales templados
Piña,Floración,20,26-30,34,1200-1600,80-90,75-85,https://frutales.files.wordpress.com - CULTIVOS FRUTICOLA
Plátano,Floración,20,26-30,34,1400-1700,80-90,75-85,https://frutales.files.wordpress.com - CULTIVOS FRUTICOLA
Rosa,Floración,15,18-25,28,400-500,65-75,65-75,INIFAP - Flores de corte
Sandía,Floración,18,26-32,36,400-600,60-70,60-75,INIFAP - Cucurbitáceas
Sorgo forrajero en verde,Floración,16,24-30,36,400-600,60-70,60-75,https://fps.org.mx - Guía del cultivo de sorgo
Sorgo grano,Floración,16,24-30,36,400-600,60-70,60-75,https://fps.org.mx - Guía del cultivo de sorgo
Soya,Floración,14,20-26,32,600-800,65-75,65-80,INIFAP - Leguminosas
Tabaco,Floración,18,24-30,34,500-700,65-75,65-80,INIFAP - Cultivos industriales
Tomate rojo (jitomate),Floración,18,22-28,32,500-700,65-75,65-75,https://elfield.com.mx - Requerimientos edafoclimáticos del tomate
Tomate verde,Floración,18,22-26,30,500-700,65-75,65-75,https://hydroenv.com.mx - Guía para el Cultivo de Tomate Verde
Toronja (pomelo),Floración,15,20-26,32,800-1100,75-85,70-80,INIFAP - Cultivos cítricos
Trigo grano,Floración,10,15-22,28,300-500,60-70,65-75,https://agrawdata.com - Guía Completa para el Cultivo Exitoso de Cereales
Tuna,Floración,18,25-30,35,400-600,45-60,45-60,INIFAP - Cultivos xerófitos
Uva,Floración,12,18-25,30,700-1000,65-75,65-80,INIFAP - Cultivos frutales
Zanahoria,Floración,10,16-22,28,450-650,65-75,65-80,INIFAP - Hortalizas de raíz
Zarzamora,Floración,10,16-22,26,600-800,70-80,70-85,INIFAP - Cultivos de berries
